Unnamed: 0,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,class,CoinName
SJCX,Counterparty,PoS,51173144.0,500000000.0,-0.35673195515722833,1.458114162825204,-0.13277379343335247,0,StorjCoin
MONA,Scrypt,PoW,68194674.8711679,105120000.0,-0.16865453479132553,-1.1284152240526089,-0.04508563849517909,3,MonaCoin
NTRN,SHA-256,PoW/PoS,39121694.0,68000000.0,-0.3122989024762264,0.809605830263846,-0.3586815603713495,0,Neutron
FAIR,Groestl,PoW/PoS,53193831.0,0.0,-0.3872907820116668,0.9709255130557932,-0.3896327497775191,0,FairCoin
NLG,Scrypt,PoW,415032420.0,1680000000.0,-0.15324854053788467,-1.1290812185901622,-0.04531852380033103,3,Gulden
RBY,Scrypt,PoS,27184490.3918338,0.0,-0.2972222399420873,0.7988584886862192,-0.3189365456431046,0,RubyCoin
PTC,Scrypt,PoW,137517654.41397,166386000.0,-0.16737330350539434,-1.1284192189893376,-0.04511316140088079,3,PesetaCoin
KORE,X13,PoW/PoS,2022464.886973,12000000.0,-0.28458244627611157,1.763365007717483,-0.5885970833776035,0,Kore
WBB,Scrypt,PoW,181919.2435974,2628000.0,-0.1702121560693399,-1.128389717315307,-0.045055455118951294,3,Wild Beast Coin
NOTE,Scrypt,PoS,174646113.934655,500000000.0,-0.29187493398494097,0.7986617041830638,-0.31902283352666905,0,Dnotes
FLO,Scrypt,PoW,152270664.860648,160000000.0,-0.16723840364363818,-1.1284101758147957,-0.04511756102229577,3,Flo
8BIT,Scrypt,PoW/PoS,1467841.0,0.0,-0.34225087549089217,0.999660838544786,-0.6095931367675064,0,8BIT Coin
STV,X13,PoW/PoS,7096834.0,10000000.0,-0.28453465318511095,1.763368018080439,-0.5885986113944245,0,Sativa Coin
ABY,Scrypt,PoW,792537250.0,1000000000.0,-0.15346058402990573,-1.1285867039320039,-0.045392335536618464,3,ArtByte
FLDC,Stanford Folding,PoW,719416990.0,1000000000.0,-0.12918263665162422,-2.2426238717368454,0.49818815943166633,3,Folding Coin
U,X11,PoS,2689812.0,20000000.0,-0.34746869011000514,1.0292230658916215,-0.17000700457219572,0,Ucoin
UIS,Multiple,PoW,65113302.0,0.0,-0.1272476466057181,-1.836905992228403,0.364062448088073,3,Unitus
CYP,QuBit,PoW,6365285.0,0.0,-0.19646591110685674,-1.4909819706593284,0.2284002385059339,3,CypherPunkCoin
OMC,Scrypt,PoW,10140044.4430293,3371337.0,-0.17008525618326048,-1.1283861873173773,-0.04505880407548808,3,OmniCron
VTR,Scrypt,PoW/PoS,11604722.0,20000000.0,-0.34198521554910477,0.9996546307581661,-0.6095979899362091,0,Vtorrent
GRE,Scrypt,PoW,4610340640.89,10000000000.0,-0.04299824420702508,-1.1316721493548068,-0.047330287478912034,3,GreenCoin
XCN,M7 POW,PoW,708506520.0,1840000000.0,-0.11931344868011709,-2.2837532364849764,0.47607385121080187,3,Cryptonite
MSC,Scrypt,PoW,619478.0,619478.0,-0.17022105708242166,-1.1283885225765597,-0.045055449093030935,3,MasterCoin
SOON,SHA-256,PoW,12462620.0,21000000.0,-0.14092207253900757,-1.3184294077473895,0.20586823651773653,3,SoonCoin
1CR,Scrypt,PoW,88213.0,92000000000.0,0.48227262893702055,-1.1752465399400838,-0.051959275953037586,3,1Credit
ISL,X11,PoW/PoS,1513704.0,0.0,-0.39233943810174676,1.2300452345494841,-0.4606702104265003,0,IslaCoin
NXS,SHA3,PoW/nPoS,63657220.0,78000000.0,-0.4464914374067374,2.162142569251322,-0.4899372658489696,0,Nexus
MARS,X11,PoW,32221574.820996,33000000.0,-0.21969453722258328,-0.8980082329252294,0.10385461156892428,3,MarsCoin 
CTO,Lyra2RE,PoW,13742738.0,65789100.0,-0.14964538522252063,-2.1850072384337187,0.4403450219477716,3,Crypto
ACP,SHA-256,PoW,14747200.0002,53760000.0,-0.14066182048020662,-1.3184451966084354,0.20586502256037834,3,Anarchists Prime
DRZ,QUAIT,PoW/PoS,8568038.35935056,5060000.0,-0.440993846114729,1.9209131237663812,-0.7474041114104566,0,Droidz
BSC,X11,PoW,15863837.5,21000000.0,-0.21997943872044193,-0.8980085414665382,0.10386092163617977,3,BowsCoin
SQL,X11,PoS/PoW,329200.01639,0.0,-0.32835241624371286,0.8761429311964766,-0.20878766467012236,0,Squall Coin
SONG,Scrypt,PoW,32565300.0,210240000.0,-0.16834415197420158,-1.128482749210399,-0.04508174441029651,3,Song Coin
ZNY,Scrypt,PoW,75614500.0,250000000.0,-0.16753635674379336,-1.1284861031039448,-0.045098964623756725,3,BitZeny
DIGS,Scrypt,PoS,100000000.0,100000000.0,-0.29562363254137186,0.7988361362910589,-0.3189681302907878,0,Diggits
EXP,Ethash,PoW,10495278.0,16906397.0,-0.15375968792287867,-1.996268280394441,0.3992767792997479,3,Expanse
CON,X13,PoW/PoS,23042604.0,50000000.0,-0.28405619507903335,1.7633539037548138,-0.5886068864555115,0,Paycon
